Our Order id 104148	 passtype order	 session vjt3emqh13k2bo1ooqvoam6he5	 timestamp 20111130190539	 Result 00	 Order id 20111130190539-368	 message APPROVAL	 authcode 845292	 pasref 13226799526928	 md5 7bea64f2dabba45d1c02832f3d99e2a4
Our Order id 104168	 passtype order	 session dsii3sutl71ita6lpvdej05sf6	 timestamp 20111130211207	 Result 00	 Order id 20111130211207-367	 message APPROVAL	 authcode 097047	 pasref 13226876044872	 md5 7818f5b44bcfdfc613583d2e782a2f79
Our Order id 104170	 passtype order	 session d7qt1o7nl3npfb79pvk6ohkdo6	 timestamp 20111130212348	 Result 00	 Order id 20111130212348-475	 message APPROVAL	 authcode 488015	 pasref 13226881746576	 md5 42dac92afe889a6cc26aef10c598288e
Our Order id 104173	 passtype order	 session 8v4i0jcufulm79d3ro4n8m3he0	 timestamp 20111130213908	 Result 00	 Order id 20111130213908-87	 message APPROVAL	 authcode 012595	 pasref 13226890294980	 md5 db9ee29d537573fa772e20d1d6a0bec8
Our Order id 104180	 passtype order	 session fgihg6sne75hd672cu046hsi87	 timestamp 20111130221943	 Result 00	 Order id 20111130221943-108	 message APPROVAL	 authcode 043219	 pasref 13226914916596	 md5 cb042d4a2b6ac9d6ad300a23bee3f6b4
Our Order id 104208	 passtype order	 session 0tmh45st2u6psg91vfrmnu1nl5	 timestamp 20111201094145	 Result 00	 Order id 20111201094145-837	 message APPROVAL	 authcode 306056	 pasref 13227323847712	 md5 292b87b3e58d629a2b7249916c460193
Our Order id 104411	 passtype order	 session qfv3s9b7ll2tfeio44q5j76tk3	 timestamp 20111202112316	 Result 00	 Order id 20111202112316-697	 message APPROVAL	 authcode 030239	 pasref 13228248609112	 md5 2ccf392ee0b09efa3c23beb5a1100064
Our Order id 104468	 passtype order	 session a5e6kcnb7fq72gga4kqpgju205	 timestamp 20111202154048	 Result 00	 Order id 20111202154048-508	 message APPROVAL	 authcode 077343	 pasref 13228403644668	 md5 5a488f3714044f04b6a832a7c10af5b5
Our Order id 104481	 passtype order	 session ermcdn5qrgumube3o9rn625397	 timestamp 20111202175628	 Result 00	 Order id 20111202175628-508	 message APPROVAL	 authcode 182879	 pasref 13228484954964	 md5 5dc451d23aeeb86940af599796249985
Our Order id 104493	 passtype order	 session t8nggaru3hq2ntthd3bi9hesu1	 timestamp 20111202195031	 Result 00	 Order id 20111202195031-87	 message APPROVAL	 authcode 353246	 pasref 13228553475176	 md5 95e8f17ae754c7816cddf0eadc5ebd77
Our Order id 104508	 passtype order	 session 5faf2e1s11e5gv46osjfeneq83	 timestamp 20111203020240	 Result 00	 Order id 20111203020240-938	 message APPROVAL	 authcode 704199	 pasref 13228776334600	 md5 5e68932e6e1a5e9bb17b5d72992558a4
Our Order id 104529	 passtype order	 session 3qdn9c0t81gfl3h8faofjtc9o7	 timestamp 20111203115118	 Result 00	 Order id 20111203115118-706	 message APPROVAL	 authcode 057304	 pasref 13229129589896	 md5 2701e36da3ccb042953bf0d61187fb60
Our Order id 104535	 passtype order	 session 5ptcpfuaabeajqj4u275tme7o6	 timestamp 20111203130753	 Result 00	 Order id 20111203130753-795	 message APPROVAL	 authcode 057722	 pasref 13229175273460	 md5 2d9f45dbde11820fc31d3a8aa57dbdc7
Our Order id 104556	 passtype order	 session 1vk72cmegts0s96gnvr24ie5n5	 timestamp 20111203162312	 Result 00	 Order id 20111203162312-368	 message APPROVAL	 authcode 017066	 pasref 13229294888196	 md5 af3dc90c355e17a40c5d2ca67e32bf11
Our Order id 104580	 passtype order	 session a773vu4t9qul0e2sca4bgljhs1	 timestamp 20111203191259	 Result 00	 Order id 20111203191259-625	 message APPROVAL	 authcode 036156	 pasref 13229394829848	 md5 7af7af162bdb1b7d47e6f950905efde4
Our Order id 104610	 passtype order	 session ot41g9if3c5p283mvd3vgh3vt0	 timestamp 20111204120930	 Result 00	 Order id 20111204120930-546	 message APPROVAL	 authcode 144535	 pasref 13230004887940	 md5 ee8688be9d7ba705e75e08fbaa5de954
Our Order id 104659	 passtype order	 session j44kqavk9nko92ks679nmmte34	 timestamp 20111204164938	 Result 00	 Order id 20111204164938-266	 message APPROVAL	 authcode 704239	 pasref 132301725011624	 md5 c9a29fb4ad523f002ce52e688e27a26f
Our Order id 104692	 passtype order	 session hvhongvjbl7i3u2upb35fe6q83	 timestamp 20111204204736	 Result 00	 Order id 20111204204736-278	 message APPROVAL	 authcode 007093	 pasref 132303154110316	 md5 c98f3b44fb297cb84bab216003037bd0
Our Order id 104730	 passtype order	 session t8pqbvft8uagkrfeginsiqri93	 timestamp 20111205074451	 Result 00	 Order id 20111205074451-514	 message APPROVAL	 authcode 315625	 pasref 13230710268060	 md5 c801625970072ca6509fa66d0d7ce8e6
Our Order id 104769	 passtype order	 session a4oakh2igs1c8c8hrga0u6ar47	 timestamp 20111205112248	 Result 00	 Order id 20111205112248-903	 message APPROVAL	 authcode 064775	 pasref 13230841364928	 md5 874eb7bca4fca58ac6b09001844d4864
Our Order id 104950	 passtype order	 session p99edgoknja4rnodjq8j0g1jg5	 timestamp 20111206091449	 Result 00	 Order id 20111206091449-681	 message APPROVAL	 authcode 091224	 pasref 13231627846992	 md5 552372aabed83776eaec43ea4b24ac3e
Our Order id 104955	 passtype order	 session oj36s9a4kcccptha18md5d8hs3	 timestamp 20111206093622	 Result 00	 Order id 20111206093622-683	 message APPROVAL	 authcode 100823	 pasref 13231641049368	 md5 3ac044afc3bcf0717544b4407699911f
Our Order id 104998	 passtype order	 session geeb6fj73vf2b4n12utve0vgk0	 timestamp 20111206120444	 Result 00	 Order id 20111206120444-944	 message APPROVAL	 authcode 23	 pasref 132317301310892	 md5 d7a47eeedeb66ad012ff71c469beb780
