"Product Id","Product Name","Short Description","Main Description Filename","Tab Titles"
"547347","Jura Stainless Steel Milk Pipe Upgrade Kit","Encased in a high-quality stainless steel coil spring, the milk pipe connects the milk container to the milk spout Ready for use right away, this milk pipe offers the ideal solution for optimum milk hygiene every time.","547347_maindesc.txt",""
"531600","Kenco Really Rich Vending Coffee 10 x 300g","Kenco Really Rich Vending Coffee - Kenco's Richest Instant Coffee - 10 X 300g","531600_maindesc.txt",""
"547324","Sweetbird Banana Syrup - 1 litre","A firm favourite with naughty little (and grown-up) monkeys everywhere!.....Vegetarian Suitable Banana Coffee Syrup","547324_maindesc.txt",""
"547292","Sweetbird Almond Syrup - 1 Litre","A sophisticated little syrup, reminiscent of the divine confection, Bakewell Tart... Vegetarian Suitable Almond Coffee Syrup","547292_maindesc.txt",""
"531592","Harrogate Bottled Water - Sparkling x 24","24 X 500ml - Harrogate Sparkling Bottled Water In Handy Easy To Go Pack Sizes","531592_maindesc.txt",""
"531590","Cinnamon Coffee Sprinkler","Cinnamon Dusting Sprinkler To Apply The Finishing Touches To Your Beverage","531590_maindesc.txt",""
"535343","Lavazza Pienaroma Coffee Beans 6KG","6 X 1 Kilo Case - 100% Arabica Coffee Beans","535343_maindesc.txt",""
"531578","Byron Bay Accessories","Full Byron Bay Range From Tags To Biscuit Jars","531578_maindesc.txt",""
"531579","Belgian Dark Chocolate Shavings - 500g","High Quality Belgium Chocolate Shavings - Made With Real Belgium Chocolate - Perfect Way To Finish Any High Quality Hot Beverage Desert Or Frappe","531579_maindesc.txt",""
"531580","Cafe Wipez Urnex Cleaning Wipes","Pre moistened, fragrance free coffee equipment cleaning wipes For use on all coffee equipment, including steam wands, grinder hoppers","531580_maindesc.txt",""
"531581","Simply Italian Wafers x 20","20 Italian Wafer Biscuits Packed In Handy Display Trays - Perfect For Countertops - In 3 Delicious Flavours.","531581_maindesc.txt",""
"537091","Simply Syrup - Christmas Pudding","Bring Our The Festive Spirit With Our Brand New Christmas Pudding Syrup","537091_maindesc.txt",""
"537093","Simply Syrup - Cinnamon - 1 Ltr","Try Our Winter Warming Cinnamon Syrup...","537093_maindesc.txt",""
"549079","Aromo ESE Coffee Pods - Boost x 100 Pods","The best Espresso Coffee on the net! Intense, Authentic, full Espresso for the connoisseur. Choose this because you want the very best available.","549079_maindesc.txt",""
"536945","ForLife Stump Tea Pots 18oz","Range Of Vibrant Colours, Stump Tea Pots In 18oz Size 530ml - Drip Free Teapots","536945_maindesc.txt",""
"531583","FairTrade Chocolate Sprinkler","Fairtrade Chocolate Sprinkler","531583_maindesc.txt",""
"531586","Byron Bay Cafe Cookies x 6","Click Within To Select Variety. Byron Bay Cookie Packs Of 6 - All New Range Including Anzac, Cherry Cheesecake & Fig & Pecan","531586_maindesc.txt",""
"548772","Simply Sugar Free Salted Caramel Syrup - 1 Litre","Superb and tasty premium sugar free salted caramel syrup, a low calorie treat for your coffee, latte, shake or dessert.","548772_maindesc.txt",""
"547332","Sweetbird Raspberry Syrup - 1 Litre","It’s a classic jam flavour - but in a drink? Adds a sharp fruity note – try it with chocolate and take it from there......Vegetarian Suitable Raspberry Coffee Syrup","547332_maindesc.txt",""
