"Manufacturer part code","Long Description (used in Web & AMO)","Website Image Link 1","Website Image Link 2","Website Image Link 3","Website Image Link 4","Website Image Link 5",,,
"TRP-CE3","3000mm Foldable and Telescopic Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-telescopic-channel-ramps-03.jpg",,,,,
"TRP1RT","1 inch Rubber Threshold Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-rubber-threshold-ramp-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-rubber-threshold-ramp-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-rubber-threshold-ramp-03.jpg",,,,,
"TRP15RT","1.5 inch Rubber Threshold Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-rubber-threshold-ramp-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-rubber-threshold-ramp-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-rubber-threshold-ramp-03.jpg",,,,,
"TRP2RT","2 inch Rubber Threshold Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-rubber-threshold-ramp-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-rubber-threshold-ramp-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-rubber-threshold-ramp-03.jpg",,,,,
"PCDU51","Power Cape","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-wet-weather-wear/power-cape-pcdu51-01.jpg",,,,,,,
"SLCU51","Scooter Leg Cape","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-wet-weather-wear/scooter-leg-cape-slcu51.jpg",,,,,,,
"SYD","Scooter Cosy","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-wet-weather-wear/scooter-cosy-syd-01.jpg",,,,,,,
"SCD","Scooter Cape","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-wet-weather-wear/scooter-cape-scd-01.jpg",,,,,,,
"SCTLD","Scooter Coat Lined","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-wet-weather-wear/scooter-cape-sctld-01.jpg",,,,,,,
"LW","Lapwrap","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-wet-weather-wear/lapwrap-lw-01.jpg",,,,,,,
"MP31U51","3 in 1 Mobility Poncho Unsleeved","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-wet-weather-wear/3-in-1-mobility-poncho-unsleeved-mp31u51-01.jpg",,,,,,,
"MPS31U51","3 in 1 Mobility Poncho Sleeved ","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-wet-weather-wear/3-in-1-mobility-poncho-sleeved-mps31u51-01.jpg",,,,,,,
"MPU51","Mobility Poncho Unsleeved Unlined","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-wet-weather-wear/mobility-poncho-unsleeved-unlined-mpu51-01.jpg",,,,,,,
"MPSU51","Mobility Poncho Sleeved Unlined","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-wet-weather-wear/mobility-poncho-sleeved-unlined-mpsu51-01.jpg",,,,,,,
